"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"C";;;
2;"C3, C9, C10, C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"100nF";;;
3;"C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100uF";;;
4;"C6, C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10uF";;;
5;"C8, C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"12pF";;;
6;"C13, C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1uF";;;
7;"D1";"LED_0805_2012Metric";1;"RED";;;
8;"D2";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"SM518";;;
9;"D3";"LED_0805_2012Metric";1;"GREEN";;;
10;"D4";"LED_0805_2012Metric";1;"PURPLE";;;
11;"J1, J8, J9, J10, J11, J12";"FanPinHeader_1x04_P2.54mm_Vertical";6;"Conn_01x04_Pin";;;
12;"J2";"BarrelJack_CUI_PJ-063AH_Horizontal";1;"Jack-DC";;;
13;"J3";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Screw_Terminal_01x02";;;
14;"J4";"USB_Micro-B_Molex_47346-0001";1;"USB_B_Micro";;;
15;"J5";"Molex_SL_171971-0002_1x02_P2.54mm_Vertical";1;"Conn_01x02_Socket";;;
16;"J6";"FanPinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
17;"J7";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
18;"J13";"PinHeader_1x16_P2.54mm_Vertical";1;"Conn_01x16_Pin";;;
19;"J14, J15, J16, J17";"Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical";4;"Conn_01x08_Pin";;;
20;"L1";"L_0805_2012Metric_Pad1.05x1.20mm_HandSolder";1;"L";;;
21;"R1, R3, R4, R5, R8, R9, R10, R11";"R_0805_2012Metric";8;"10K";;;
22;"R2, R6, R7";"R_0805_2012Metric";3;"1K";;;
23;"R12, R13, R14, R15, R16, R17, R18";"R_0805_2012Metric";7;"220R";;;
24;"RV1";"Potentiometer_Vishay_148-149_Single_Horizontal";1;"10k";;;
25;"U1";"TO-263-5_TabPin3";1;"LM2596S-5";;;
26;"U2";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340C";;;
27;"U3";"ESP32-WROOM-32D";1;"ESP32-WROOM-32D";;;
28;"U4";"HDSP-7401";1;"HDSP-7403";;;
29;"U5";"SOT-23-5";1;"AP2112K-3.3";;;
30;"Y1";"Crystal_SMD_0603-4Pin_6.0x3.5mm";1;"Crystal_GND24";;;
